C:\Python27\python.exe C:/Users/Administrator/PycharmProjects/untitled/sina_stock4.py
无法获取代码为201000: 的股票信息
无法获取代码为201001: 的股票信息
无法获取代码为201002: 的股票信息
无法获取代码为201003: 的股票信息
无法获取代码为201004: 的股票信息
无法获取代码为201005: 的股票信息
无法获取代码为201008: 的股票信息
无法获取代码为201009: 的股票信息
无法获取代码为201010: 的股票信息
无法获取代码为202001: 的股票信息
无法获取代码为202003: 的股票信息
无法获取代码为202007: 的股票信息
无法获取代码为203007: 的股票信息
无法获取代码为203008: 的股票信息
无法获取代码为203009: 的股票信息
无法获取代码为203016: 的股票信息
无法获取代码为203017: 的股票信息
无法获取代码为203018: 的股票信息
无法获取代码为203019: 的股票信息
无法获取代码为203020: 的股票信息
无法获取代码为203021: 的股票信息
无法获取代码为203031: 的股票信息
无法获取代码为203032: 的股票信息
无法获取代码为203033: 的股票信息
无法获取代码为203040: 的股票信息
无法获取代码为203041: 的股票信息
无法获取代码为203042: 的股票信息
无法获取代码为203043: 的股票信息
无法获取代码为203044: 的股票信息
无法获取代码为203045: 的股票信息
无法获取代码为203049: 的股票信息
无法获取代码为203050: 的股票信息
无法获取代码为203051: 的股票信息
无法获取代码为203052: 的股票信息
无法获取代码为203053: 的股票信息
无法获取代码为203054: 的股票信息
无法获取代码为204001: 的股票信息
无法获取代码为204002: 的股票信息
无法获取代码为204003: 的股票信息
无法获取代码为204004: 的股票信息
无法获取代码为204007: 的股票信息
无法获取代码为204014: 的股票信息
无法获取代码为204028: 的股票信息
无法获取代码为204091: 的股票信息
无法获取代码为204182: 的股票信息
无法获取代码为500001: 的股票信息
无法获取代码为500002: 的股票信息
无法获取代码为500003: 的股票信息
无法获取代码为500005: 的股票信息
无法获取代码为500006: 的股票信息
无法获取代码为500007: 的股票信息
无法获取代码为500008: 的股票信息
无法获取代码为500009: 的股票信息
无法获取代码为500010: 的股票信息
无法获取代码为500011: 的股票信息
无法获取代码为500013: 的股票信息
无法获取代码为500015: 的股票信息
无法获取代码为500016: 的股票信息
无法获取代码为500017: 的股票信息
无法获取代码为500018: 的股票信息
无法获取代码为500019: 的股票信息
无法获取代码为500021: 的股票信息
无法获取代码为500025: 的股票信息
无法获取代码为500028: 的股票信息
无法获取代码为500029: 的股票信息
无法获取代码为500035: 的股票信息
无法获取代码为500038: 的股票信息
无法获取代码为500039: 的股票信息
无法获取代码为500056: 的股票信息
代码为600057当前值相对10天内的最大值下跌了： 1.96428571429 %
代码为600058当前值相对10天内的最大值下跌了： 4.64516129032 %
代码为600059当前值相对10天内的最大值下跌了： 1.95473251029 %
代码为600060当前值相对10天内的最大值下跌了： 3.63262508568 %
代码为600061当前值相对10天内的最大值下跌了： 2.94297976701 %
代码为600062当前值相对10天内的最大值下跌了： 1.88768286928 %
代码为600063当前值相对10天内的最大值下跌了： 3.76569037657 %
代码为600064当前值相对10天内的最大值下跌了： 3.17848410758 %
无法获取代码为600065: 的股票信息
代码为600066当前值相对10天内的最大值下跌了： 4.64912280702 %
代码为600067当前值相对10天内的最大值下跌了： 5.62347188264 %
代码为600068当前值相对10天内的最大值下跌了： 9.74358974359 %
代码为600069当前值相对10天内的最大值下跌了： 4.84848484848 %
代码为600070当前值相对10天内的最大值下跌了： 4.01396160558 %
代码为600071当前值相对10天内的最大值下跌了： 2.40963855422 %
代码为600072当前值相对10天内的最大值下跌了： 5.75740637228 %
代码为600073当前值相对10天内的最大值下跌了： 0.405268490375 %
代码为600074当前值相对10天内的最大值下跌了： 22.1139430285 %
代码为600075当前值相对10天内的最大值下跌了： 10.5075690116 %
代码为600076当前值相对10天内的最大值下跌了： 2.81973816717 %
代码为600077当前值相对10天内的最大值下跌了： 1.81405895692 %
代码为600078当前值相对10天内的最大值下跌了： 5.79310344828 %
代码为600079当前值相对10天内的最大值下跌了： 2.27995758218 %
代码为600080当前值相对10天内的最大值下跌了： 0.17652250662 %
代码为600081当前值相对10天内的最大值下跌了： 4.05405405405 %
代码为600082当前值相对10天内的最大值下跌了： 2.79146141215 %
代码为600083当前值相对10天内的最大值下跌了： 6.68571428571 %
代码为600084当前值相对10天内的最大值下跌了： 1.69934640523 %
代码为600085当前值相对10天内的最大值下跌了： 3.93629807692 %
代码为600086当前值相对10天内的最大值下跌了： 1.0101010101 %
无法获取代码为600087: 的股票信息
代码为600088当前值相对10天内的最大值下跌了： 2.42460082791 %
代码为600089当前值相对10天内的最大值下跌了： 1.48975791434 %
代码为600090当前值相对10天内的最大值下跌了： 5.70221752904 %
代码为600091当前值相对10天内的最大值下跌了： 7.54475703325 %
无法获取代码为600092: 的股票信息
代码为600093当前值相对10天内的最大值下跌了： 3.50076103501 %
代码为600094当前值相对10天内的最大值下跌了： 1.82054616385 %
代码为600095当前值相对10天内的最大值下跌了： 9.57095709571 %
代码为600096当前值相对10天内的最大值下跌了： 5.39325842697 %
代码为600097当前值相对10天内的最大值下跌了： 1.11420612813 %
代码为600098当前值相对10天内的最大值下跌了： 1.30548302872 %
代码为600099当前值相对10天内的最大值下跌了： 4.18641390205 %
无法获取代码为600100: 的股票信息
代码为600101当前值相对10天内的最大值下跌了： 13.1850675139 %
无法获取代码为600102: 的股票信息
代码为600103当前值相对10天内的最大值下跌了： 4.09356725146 %
代码为600104当前值相对10天内的最大值下跌了： 8.54889589905 %
代码为600105当前值相对10天内的最大值下跌了： 1.25786163522 %
代码为600106当前值相对10天内的最大值下跌了： 3.59066427289 %
代码为600107当前值相对10天内的最大值下跌了： 24.9037227214 %
代码为600108当前值相对10天内的最大值下跌了： 1.06837606838 %
代码为600109当前值相对10天内的最大值下跌了： 0.430663221361 %
代码为600110当前值相对10天内的最大值下跌了： 10.6079404467 %
代码为600111当前值相对10天内的最大值下跌了： 4.02157920549 %
代码为600112当前值相对10天内的最大值下跌了： 1.41843971631 %
代码为600113当前值相对10天内的最大值下跌了： 4.1547277937 %
代码为600114当前值相对10天内的最大值下跌了： 4.58978772232 %
代码为600115当前值相对10天内的最大值下跌了： 2.7417027417 %
代码为600116当前值相对10天内的最大值下跌了： -3.4034034034 %
代码为600117当前值相对10天内的最大值下跌了： 13.0242825607 %
代码为600118当前值相对10天内的最大值下跌了： 4.44444444444 %
代码为600119当前值相对10天内的最大值下跌了： 4.01179941003 %
代码为600120当前值相对10天内的最大值下跌了： 6.4 %
代码为600121当前值相对10天内的最大值下跌了： 5.78386605784 %
代码为600122当前值相对10天内的最大值下跌了： 6.00184672207 %
代码为600123当前值相对10天内的最大值下跌了： 2.91457286432 %
代码为600125当前值相对10天内的最大值下跌了： 1.98511166253 %
代码为600126当前值相对10天内的最大值下跌了： 2.68065268065 %
代码为600127当前值相对10天内的最大值下跌了： 1.19453924915 %
代码为600128当前值相对10天内的最大值下跌了： 1.18613138686 %
代码为600129当前值相对10天内的最大值下跌了： 1.69491525424 %
代码为600130当前值相对10天内的最大值下跌了： 2.24358974359 %
代码为600131当前值相对10天内的最大值下跌了： 4.3673012318 %
代码为600132当前值相对10天内的最大值下跌了： 9.2868338558 %
代码为600133当前值相对10天内的最大值下跌了： 16.3087248322 %
代码为600135当前值相对10天内的最大值下跌了： 1.82173064411 %
无法获取代码为600136: 的股票信息
代码为600137当前值相对10天内的最大值下跌了： 4.23267326733 %
代码为600138当前值相对10天内的最大值下跌了： 3.03461356093 %
代码为600139当前值相对10天内的最大值下跌了： -4.60593654043 %
代码为600141当前值相对10天内的最大值下跌了： 5.33408197642 %
代码为600143当前值相对10天内的最大值下跌了： 3.14049586777 %
无法获取代码为600145: 的股票信息
无法获取代码为600146: 的股票信息
代码为600148当前值相对10天内的最大值下跌了： 10.1372756072 %
代码为600149当前值相对10天内的最大值下跌了： 0.0 %
代码为600150当前值相对10天内的最大值下跌了： 3.1224979984 %
代码为600151当前值相对10天内的最大值下跌了： 3.34987593052 %
代码为600152当前值相对10天内的最大值下跌了： 1.72064777328 %
代码为600153当前值相对10天内的最大值下跌了： 5.00362581581 %
代码为600155当前值相对10天内的最大值下跌了： 2.21179624665 %
代码为600156当前值相对10天内的最大值下跌了： 2.86123032904 %
代码为600157当前值相对10天内的最大值下跌了： 3.25814536341 %
代码为600158当前值相对10天内的最大值下跌了： 2.10084033613 %
代码为600159当前值相对10天内的最大值下跌了： 4.80961923848 %
